Symbol,Last_Price,Industry,Sector
PDM,8.25,REIT - Office,Real Estate
RYAM,8.24,Chemicals,Basic Materials
GPRK,8.24,Oil & Gas E&P,Energy
PSNL,8.21,Diagnostics & Research,Healthcare
GLQ,8.19,Asset Management,Financial Services
ADAM,8.16,REIT - Mortgage,Real Estate
NRT,8.15,Oil & Gas E&P,Energy
ARMP,8.15,Biotechnology,Healthcare
TSSI,8.14,Information Technology Services,Technology
CXH,8.14,Asset Management,Financial Services
STHO,8.12,Real Estate Services,Real Estate
CHW,8.11,Asset Management,Financial Services
ANGI,8.1,Internet Content & Information,Communication Services
YI,8.1,Medical Distribution,Healthcare
PTEN,8.1,Oil & Gas Drilling,Energy
LION,8.09,Unknown,Unknown
JRS,8.09,Asset Management,Financial Services
CCRN,8.08,Medical Care Facilities,Healthcare
KRNY,8.08,Banks - Regional,Financial Services
IEP,8.06,Oil & Gas Refining & Marketing,Energy
RXST,8.04,Medical Devices,Healthcare
CLM,8.04,Asset Management,Financial Services
TIGR,8.03,Capital Markets,Financial Services
IAE,8.03,Asset Management,Financial Services
GYRE,8.02,Biotechnology,Healthcare
RDW,8.02,Aerospace & Defense,Industrials
SABA,8.01,Asset Management,Financial Services
INLX,8.01,Software - Application,Technology
TIL,7.99,Biotechnology,Healthcare
SXC,7.99,Coking Coal,Basic Materials
RGNX,7.99,Biotechnology,Healthcare
MPX,7.98,Recreational Vehicles,Consumer Cyclical
SBI,7.97,Asset Management,Financial Services
REPL,7.97,Biotechnology,Healthcare
SSL,7.96,Specialty Chemicals,Basic Materials
OPP,7.94,Asset Management,Financial Services
CDRO,7.94,Gambling,Consumer Cyclical
AVAH,7.93,Medical Care Facilities,Healthcare
MARA,7.92,Capital Markets,Financial Services
ONTF,7.92,Software - Application,Technology
SBDS,7.92,Internet Retail,Consumer Cyclical
MSD,7.89,Asset Management,Financial Services
VGI,7.88,Asset Management,Financial Services
PML,7.87,Asset Management,Financial Services
GASS,7.86,Marine Shipping,Industrials
TROX,7.85,Chemicals,Basic Materials
LUCK,7.83,Leisure,Consumer Cyclical
LILAK,7.8,Telecom Services,Communication Services
AP,7.79,Metal Fabrication,Industrials
STLA,7.75,Auto Manufacturers,Consumer Cyclical
ELVA,7.75,Electrical Equipment & Parts,Industrials
ADT,7.74,Security & Protection Services,Industrials
JFR,7.74,Asset Management,Financial Services
NHS,7.73,Asset Management,Financial Services
XBP,7.73,Software - Infrastructure,Technology
DERM,7.73,Drug Manufacturers - Specialty & Generic,Healthcare
TOYO,7.73,Solar,Technology
QS,7.73,Auto Parts,Consumer Cyclical
ABR,7.72,REIT - Mortgage,Real Estate
HIMX,7.72,Semiconductors,Technology
LILA,7.72,Telecom Services,Communication Services
GHI,7.7,Mortgage Finance,Financial Services
VSTS,7.7,Rental & Leasing Services,Industrials
BNED,7.7,Specialty Retail,Consumer Cyclical
KODK,7.67,Specialty Business Services,Industrials
OBE,7.67,Oil & Gas E&P,Energy
RSVR,7.65,Entertainment,Communication Services
CFFN,7.64,Banks - Regional,Financial Services
UAMY,7.62,Other Industrial Metals & Mining,Basic Materials
BRID,7.62,Packaged Foods,Consumer Defensive
UONEK,7.6,Broadcasting,Communication Services
CRF,7.6,Asset Management,Financial Services
AEG,7.58,Insurance - Diversified,Financial Services
SSTI,7.58,Software - Application,Technology
WRD,7.57,Software - Application,Technology
ASAN,7.56,Software - Application,Technology
CRBP,7.56,Biotechnology,Healthcare
GEMI,7.56,Capital Markets,Financial Services
SHMD,7.55,Specialty Industrial Machinery,Industrials
EXPI,7.55,Real Estate Services,Real Estate
AMCX,7.55,Entertainment,Communication Services
INFU,7.54,Medical Devices,Healthcare
ADXN,7.54,Biotechnology,Healthcare
ORC,7.53,REIT - Mortgage,Real Estate
USAS,7.53,Other Industrial Metals & Mining,Basic Materials
TLRY,7.51,Drug Manufacturers - Specialty & Generic,Healthcare
BAFN,7.51,Banks - Regional,Financial Services
SENS,7.51,Medical Devices,Healthcare
SCOR,7.5,Software - Application,Technology
MTA,7.49,Other Precious Metals & Mining,Basic Materials
CLDT,7.49,REIT - Hotel & Motel,Real Estate
WEN,7.48,Restaurants,Consumer Cyclical
MGRT,7.47,Information Technology Services,Technology
ALAR,7.47,Software - Infrastructure,Technology
VIR,7.47,Biotechnology,Healthcare
SOUN,7.46,Software - Application,Technology
MGTX,7.45,Biotechnology,Healthcare
ASUR,7.43,Software - Application,Technology
HDSN,7.4,Specialty Chemicals,Basic Materials
OGN,7.39,Drug Manufacturers - General,Healthcare
PFN,7.37,Asset Management,Financial Services
HBNB,7.37,Real Estate Services,Real Estate
CRMD,7.34,Biotechnology,Healthcare
IMMX,7.33,Biotechnology,Healthcare
RLGT,7.33,Integrated Freight & Logistics,Industrials
AUDC,7.33,Communication Equipment,Technology
CTOS,7.26,Rental & Leasing Services,Industrials
KYTX,7.26,Biotechnology,Healthcare
LGL,7.25,Scientific & Technical Instruments,Technology
ASLE,7.24,Airports & Air Services,Industrials
FRSH,7.24,Software - Application,Technology
SMHI,7.22,Marine Shipping,Industrials
MTEX,7.22,Food Distribution,Consumer Defensive
FCEL,7.22,Electrical Equipment & Parts,Industrials
ARCT,7.21,Biotechnology,Healthcare
DRTS,7.21,Biotechnology,Healthcare
DBI,7.19,Footwear & Accessories,Consumer Cyclical
UAA,7.19,Apparel Manufacturing,Consumer Cyclical
RPD,7.18,Software - Infrastructure,Technology
MAX,7.17,Internet Content & Information,Communication Services
TH,7.15,Specialty Business Services,Industrials
SPT,7.15,Software - Application,Technology
SSM,7.15,Auto Manufacturers,Consumer Cyclical
NCEW,7.14,Integrated Freight & Logistics,Industrials
ACCS,7.12,Advertising Agencies,Communication Services
YALA,7.12,Software - Application,Technology
OEC,7.11,Specialty Chemicals,Basic Materials
JBI,7.1,Building Products & Equipment,Industrials
IHD,7.08,Asset Management,Financial Services
LFCR,7.08,Drug Manufacturers - Specialty & Generic,Healthcare
PNI,7.07,Asset Management,Financial Services
CGNT,7.06,Software - Infrastructure,Technology
ELWS,7.06,Software - Application,Technology
NVA,7.06,Other Industrial Metals & Mining,Basic Materials
PAL,7.05,Integrated Freight & Logistics,Industrials
TKC,7.05,Telecom Services,Communication Services
IMSR,7.04,Utilities - Regulated Electric,Utilities
MVF,7.04,Asset Management,Financial Services
NOK,7.03,Communication Equipment,Technology
LFST,7.03,Medical Care Facilities,Healthcare
KREF,7.01,REIT - Mortgage,Real Estate
MHF,7.0,Asset Management,Financial Services
AHMA,7.0,Travel Services,Consumer Cyclical
CIO,6.99,REIT - Office,Real Estate
TEI,6.99,Asset Management,Financial Services
UA,6.97,Apparel Manufacturing,Consumer Cyclical
AEYE,6.96,Software - Application,Technology
RMAX,6.94,Real Estate Services,Real Estate
WKEY,6.94,Semiconductors,Technology
PD,6.94,Software - Application,Technology
ALGS,6.91,Biotechnology,Healthcare
ACET,6.91,Biotechnology,Healthcare
LAR,6.91,Other Industrial Metals & Mining,Basic Materials
IMA,6.91,Biotechnology,Healthcare
MHH,6.91,Staffing & Employment Services,Industrials
LEE,6.9,Publishing,Communication Services
ZTR,6.89,,
DPRO,6.89,Computer Hardware,Technology
AHH,6.89,REIT - Diversified,Real Estate
ARDX,6.87,Biotechnology,Healthcare
JRVR,6.87,Insurance - Specialty,Financial Services
LZ,6.87,Specialty Business Services,Industrials
EAD,6.86,Asset Management,Financial Services
SBET,6.85,Advertising Agencies,Communication Services
NNAVW,6.85,,
QUIK,6.84,Semiconductors,Technology
RILY,6.82,Financial Conglomerates,Financial Services
XERS,6.82,Biotechnology,Healthcare
PBYI,6.82,Biotechnology,Healthcare
AQN,6.81,Utilities - Diversified,Utilities
CRSR,6.79,Computer Hardware,Technology
SIGA,6.79,Drug Manufacturers - Specialty & Generic,Healthcare
ARKR,6.78,Restaurants,Consumer Cyclical
ACHR,6.77,Aerospace & Defense,Industrials
TSQ,6.77,Advertising Agencies,Communication Services
BCRX,6.76,Drug Manufacturers - Specialty & Generic,Healthcare
MAGH,6.76,Engineering & Construction,Industrials
ATHA,6.75,Biotechnology,Healthcare
HAFN,6.73,Marine Shipping,Industrials
PDYN,6.72,Software - Infrastructure,Technology
KVHI,6.71,Telecom Services,Communication Services
APVO,6.71,Biotechnology,Healthcare
HRZN,6.67,Asset Management,Financial Services
FIEE,6.67,Communication Equipment,Technology
EAF,6.67,Electrical Equipment & Parts,Industrials
GECC,6.66,Asset Management,Financial Services
YDDL,6.66,Waste Management,Industrials
SEAT,6.66,Internet Content & Information,Communication Services
ALTG,6.64,Rental & Leasing Services,Industrials
CERT,6.62,Health Information Services,Healthcare
ACVA,6.61,Auto & Truck Dealerships,Consumer Cyclical
PROF,6.6,Medical Devices,Healthcare
PGRE,6.6,REIT - Office,Real Estate
SWIM,6.6,Building Products & Equipment,Industrials
ICCC,6.6,Biotechnology,Healthcare
UG,6.6,Household & Personal Products,Consumer Defensive
RWT,6.59,REIT - Mortgage,Real Estate
BSBR,6.59,Banks - Regional,Financial Services
AEC,6.59,Uranium,Energy
HPP,6.58,REIT - Office,Real Estate
GDYN,6.58,Information Technology Services,Technology
WHF,6.55,Asset Management,Financial Services
DHC,6.55,REIT - Healthcare Facilities,Real Estate
RIG,6.54,Oil & Gas Drilling,Energy
QUAD,6.54,Specialty Business Services,Industrials
BBCP,6.54,Engineering & Construction,Industrials
EHI,6.54,Asset Management,Financial Services
PUBM,6.54,Software - Application,Technology
TLX,6.54,Biotechnology,Healthcare
RNAC,6.52,Biotechnology,Healthcare
TARA,6.51,Biotechnology,Healthcare
KPLT,6.5,Software - Infrastructure,Technology
LEO,6.49,Asset Management,Financial Services
MASS,6.49,Medical Devices,Healthcare
BTX,6.48,Asset Management,Financial Services
MOMO,6.48,Internet Content & Information,Communication Services
SAIH,6.47,Information Technology Services,Technology
SITC,6.46,REIT - Retail,Real Estate
STKL,6.44,Beverages - Non-Alcoholic,Consumer Defensive
EHLD,6.44,Marine Shipping,Industrials
PEPG,6.44,Biotechnology,Healthcare
CLRO,6.43,Communication Equipment,Technology
BRW,6.43,Asset Management,Financial Services
XXII,6.43,Tobacco,Consumer Defensive
LUD,6.43,Steel,Basic Materials
HFRO,6.42,Asset Management,Financial Services
ULBI,6.42,Electrical Equipment & Parts,Industrials
CODI,6.39,Conglomerates,Industrials
CCCXW,6.37,,
WHLRP,6.37,REIT - Retail,Real Estate
GTM,6.36,Software - Application,Technology
AMPL,6.34,Software - Application,Technology
PMM,6.34,Asset Management,Financial Services
OIA,6.34,Asset Management,Financial Services
KRO,6.33,Specialty Chemicals,Basic Materials
ARKO,6.33,Specialty Retail,Consumer Cyclical
MCR,6.32,Asset Management,Financial Services
LXEO,6.31,Biotechnology,Healthcare
KZR,6.3,Biotechnology,Healthcare
GAB,6.3,Asset Management,Financial Services
NL,6.3,Security & Protection Services,Industrials
GLV,6.29,Asset Management,Financial Services
CXDO,6.29,Telecom Services,Communication Services
VIRC,6.29,"Furnishings, Fixtures & Appliances",Consumer Cyclical
CMPX,6.28,Biotechnology,Healthcare
NERV,6.27,Biotechnology,Healthcare
ESRT,6.27,REIT - Diversified,Real Estate
RGTIW,6.26,,
DENN,6.25,Restaurants,Consumer Cyclical
BLMN,6.25,Restaurants,Consumer Cyclical
DSM,6.24,Asset Management,Financial Services
FFWM,6.24,Banks - Regional,Financial Services
ASTI,6.23,Solar,Technology
JFIN,6.23,Internet Content & Information,Communication Services
MRCC,6.22,Asset Management,Financial Services
RDNW,6.22,Auto & Truck Dealerships,Consumer Cyclical
JMM,6.21,Asset Management,Financial Services
SQFTP,6.21,REIT - Diversified,Real Estate
UNCY,6.2,Biotechnology,Healthcare
FTF,6.19,Asset Management,Financial Services
SLDB,6.19,Biotechnology,Healthcare
RDAC,6.17,Shell Companies,Financial Services
EDD,6.17,Asset Management,Financial Services
IVA,6.17,Biotechnology,Healthcare
MCN,6.17,Asset Management,Financial Services
IMMR,6.16,Software - Application,Technology
GSIT,6.14,Semiconductors,Technology
SWZ,6.14,Unknown,Unknown
MAAS,6.14,Asset Management,Financial Services
PCF,6.13,Asset Management,Financial Services
PHGE,6.13,Biotechnology,Healthcare
AXIL,6.12,Consumer Electronics,Technology
TE,6.12,Electrical Equipment & Parts,Industrials
BGY,6.11,Asset Management,Financial Services
PSFE,6.11,Software - Infrastructure,Technology
ZBAI,6.1,Capital Markets,Financial Services
NEXN,6.1,Advertising Agencies,Communication Services
TMC,6.09,Other Industrial Metals & Mining,Basic Materials
VNDA,6.09,Biotechnology,Healthcare
GUT,6.08,Asset Management,Financial Services
ZURA,6.08,Biotechnology,Healthcare
EOD,6.08,Asset Management,Financial Services
CSBR,6.08,Biotechnology,Healthcare
PCM,6.07,Asset Management,Financial Services
OPTX,6.06,Electronic Components,Technology
AZ,6.05,Software - Application,Technology
HUHU,6.04,Specialty Industrial Machinery,Industrials
MBI,6.04,Insurance - Specialty,Financial Services
RVYL,6.03,Software - Infrastructure,Technology
MLCI,6.02,Asset Management,Financial Services
BULL,6.01,Software - Application,Technology
GLO,6.01,Asset Management,Financial Services
USA,6.0,Asset Management,Financial Services
CING,6.0,Biotechnology,Healthcare
FIP,6.0,Conglomerates,Industrials
BHC,5.99,Drug Manufacturers - Specialty & Generic,Healthcare
SB,5.99,Marine Shipping,Industrials
CIA,5.98,Insurance - Life,Financial Services
OCC,5.98,Communication Equipment,Technology
RENT,5.97,Apparel Retail,Consumer Cyclical
PACK,5.97,Packaging & Containers,Consumer Cyclical
MCW,5.97,Auto & Truck Dealerships,Consumer Cyclical
RUM,5.96,Internet Content & Information,Communication Services
IBRX,5.95,Biotechnology,Healthcare
DJTWW,5.95,,
SUGP,5.94,Security & Protection Services,Industrials
ENVX,5.92,Electrical Equipment & Parts,Industrials
COUR,5.92,Education & Training Services,Consumer Defensive
JBLU,5.91,Airlines,Industrials
NSRX,5.9,Drug Manufacturers - General,Healthcare
NPT,5.9,Specialty Retail,Consumer Cyclical
CHPT,5.9,Specialty Retail,Consumer Cyclical
BGSF,5.87,Staffing & Employment Services,Industrials
IGD,5.87,Asset Management,Financial Services
CMTL,5.86,Communication Equipment,Technology
DC,5.84,Gold,Basic Materials
PXLW,5.83,Semiconductors,Technology
RES,5.82,Oil & Gas Equipment & Services,Energy
VSTM,5.82,Biotechnology,Healthcare
AIV,5.82,REIT - Residential,Real Estate
DOYU,5.81,Internet Content & Information,Communication Services
CMPS,5.81,Medical Care Facilities,Healthcare
NB,5.8,Other Industrial Metals & Mining,Basic Materials
GENI,5.79,Internet Content & Information,Communication Services
