Symbol,Last_Price,Industry,Sector
TXN,226.16,Semiconductors,Technology
FSLR,225.65,Solar,Technology
GNRC,224.45,Specialty Industrial Machinery,Industrials
ACN,224.23,Information Technology Services,Technology
TRGP,223.89,Oil & Gas Midstream,Energy
RSG,223.17,Waste Management,Industrials
HSY,222.58,Confectioners,Consumer Defensive
JBHT,221.76,Integrated Freight & Logistics,Industrials
WING,221.65,Restaurants,Consumer Cyclical
CDTX,221.38,Biotechnology,Healthcare
LNG,220.79,Oil & Gas Midstream,Energy
CAH,220.79,Medical Distribution,Healthcare
RRX,220.19,Specialty Industrial Machinery,Industrials
RGA,219.74,Insurance - Reinsurance,Financial Services
TMUS,219.5,Telecom Services,Communication Services
VRSN,219.03,Software - Infrastructure,Technology
AIZ,217.48,Insurance - Property & Casualty,Financial Services
ONTO,217.23,Semiconductor Equipment & Materials,Technology
COHR,217.23,Scientific & Technical Instruments,Technology
AEM,216.59,Gold,Basic Materials
MOD,216.5,Auto Parts,Consumer Cyclical
ASND,216.32,Biotechnology,Healthcare
BELFA,215.26,Electronic Components,Technology
GRMN,214.74,Scientific & Technical Instruments,Technology
WSM,214.57,Specialty Retail,Consumer Cyclical
R,213.77,Rental & Leasing Services,Industrials
ENSG,213.34,Medical Care Facilities,Healthcare
EXPE,212.67,Travel Services,Consumer Cyclical
DHR,212.58,Diagnostics & Research,Healthcare
ADP,212.11,Software - Application,Technology
DRI,211.5,Restaurants,Consumer Cyclical
ALG,210.84,Farm & Heavy Construction Machinery,Industrials
WELL,210.72,REIT - Healthcare Facilities,Real Estate
IEX,210.41,Specialty Industrial Machinery,Industrials
SSD,209.01,Lumber & Wood Production,Basic Materials
AJG,208.45,Insurance Brokers,Financial Services
ALL,207.51,Insurance - Property & Casualty,Financial Services
COF,207.37,Credit Services,Financial Services
AMD,207.32,Semiconductors,Technology
SLAB,207.27,Semiconductors,Technology
DGX,206.87,Diagnostics & Research,Healthcare
GTLS,206.77,Specialty Industrial Machinery,Industrials
TKO,206.75,Entertainment,Communication Services
NTRA,206.23,Diagnostics & Research,Healthcare
FIVE,205.93,Specialty Retail,Consumer Cyclical
AZN,205.55,Drug Manufacturers - General,Healthcare
RH,205.06,Specialty Retail,Consumer Cyclical
SAP,204.53,Software - Application,Technology
PGR,204.53,Insurance - Property & Casualty,Financial Services
GPOR,203.97,Oil & Gas E&P,Energy
MPC,203.26,Oil & Gas Refining & Marketing,Energy
ITT,203.11,Specialty Industrial Machinery,Industrials
VSEC,202.66,Aerospace & Defense,Industrials
MSA,201.94,Security & Protection Services,Industrials
AN,201.76,Auto & Truck Dealerships,Consumer Cyclical
PLXS,201.28,Electronic Components,Technology
DKS,201.25,Specialty Retail,Consumer Cyclical
SBAC,200.77,REIT - Specialty,Real Estate
EA,200.62,Electronic Gaming & Multimedia,Communication Services
CR,200.52,Specialty Industrial Machinery,Industrials
BWXT,200.4,Aerospace & Defense,Industrials
AWI,200.28,Building Products & Equipment,Industrials
VLO,200.17,Oil & Gas Refining & Marketing,Energy
RTX,200.06,Aerospace & Defense,Industrials
LEU,199.19,Uranium,Energy
AMZN,198.79,Internet Retail,Consumer Cyclical
SCCO,198.0,Copper,Basic Materials
SPG,196.83,REIT - Retail,Real Estate
WLFC,196.77,Rental & Leasing Services,Industrials
ROST,196.54,Apparel Retail,Consumer Cyclical
BIIB,196.52,Drug Manufacturers - General,Healthcare
NET,195.85,Software - Infrastructure,Technology
